country,t,onset2COWCS,decade,democracy,logmountain,ethnic_fractionalization,religion_fractionalization,language_fractionalization,leg_british,opec,logpop_M_diff,logpopdens_diff,logoutreg_diff,ecgrowth_demeaned,1,2,6,10,19
ALB,2000,0.0,8.0,0.0075,,0.002204,0.004719,0.000399,0.0,0.0,4.72e-05,4.72e-05,-0.024538428,0.041358918,0.015904929,0.004150228,0.001061499,0.000125819,0.002228915
ALB,2001,0.0,8.0,0.0075,,0.002204,0.004719,0.000399,0.0,0.0,4.73e-05,4.73e-05,0.01318574,0.04034838,-0.010986834,-0.006187397,8.085e-05,-6.0284e-05,0.000592675
ALB,2002,0.0,8.0,0.0085,,0.002204,0.004719,0.000399,0.0,0.0,5.2e-05,5.2e-05,-0.002671287,0.002040524,-0.004633205,-0.002398368,0.000530027,7.546e-06,-0.000630035
ALB,2003,0.0,8.0,0.0085,,0.002204,0.004719,0.000399,0.0,0.0,5.15e-05,5.15e-05,0.009959966,0.027921561,0.003350652,-0.002564079,-0.002636499,-0.000214958,1.4883e-05
ALB,2004,0.0,8.0,0.0085,,0.002204,0.004719,0.000399,0.0,0.0,5.14e-05,5.14e-05,0.005462259,0.02696621,0.004472182,0.00092582,0.001329946,-1.007e-05,0.001080799
ALB,2005,0.0,8.0,0.0095,,0.002204,0.004719,0.000399,0.0,0.0,5.15e-05,5.15e-05,0.009652138,0.025951348,0.000739334,0.000600499,0.000895838,3.507e-05,0.00031501
ALB,2006,,8.0,0.0095,,0.002204,0.004719,0.000399,0.0,,5.19e-05,5.19e-05,-0.020523101,0.022985995,0.007656435,0.003609426,0.003143211,0.000135091,0.004480161
ALB,2007,,8.0,0.0095,,0.002204,0.004719,0.000399,0.0,,5.25e-05,5.25e-05,0.001730263,0.030818261,0.002940139,0.001499662,0.001428123,7.1958e-05,0.002236368
ALB,2008,,8.0,0.0095,,0.002204,0.004719,0.000399,0.0,,5.12e-05,5.12e-05,0.015621766,0.035953067,0.000499843,0.001527892,0.000155958,0.000116335,0.00126578
AND,1991,0.0,7.0,,,0.007139,0.002326,0.006848001,,0.0,,,-0.002113208,,-0.000866176,-0.001059439,0.000850503,0.00030044,-0.00071701
AND,1992,0.0,7.0,,,0.007139,0.002326,0.006848001,,0.0,,,0.011710435,,0.000946985,0.000955385,0.001114296,0.001078791,0.001260987
AND,1993,0.0,7.0,,,0.007139,0.002326,0.006848001,,0.0,,,-0.001443625,,0.001589406,0.005675877,0.001198556,0.000767016,0.001140611
AND,1994,0.0,7.0,,,0.007139,0.002326,0.006848001,,0.0,,,0.000550196,,0.001416476,0.001560777,0.000951917,0.001794629,0.001616909
AND,1995,0.0,7.0,,,0.007139,0.002326,0.006848001,,0.0,,,-0.004463524,,1.6655e-05,-0.002329693,0.00018823,0.000319638,0.000535625
AND,1996,0.0,7.0,,,0.007139,0.002326,0.006848001,,0.0,,,0.001653731,,-0.000117714,-0.001554589,0.00073833,0.001275564,0.00051583
AND,1997,0.0,7.0,,,0.007139,0.002326,0.006848001,,0.0,,,-0.006395802,,0.001204588,0.003160467,0.002133132,0.003082116,0.001525803
AND,1998,0.0,7.0,,,0.007139,0.002326,0.006848001,,0.0,,,0.010252938,,-0.000954881,0.005886237,0.001910889,0.005418567,-0.000951294
AND,1999,0.0,7.0,,,0.007139,0.002326,0.006848001,,0.0,,,0.000647575,,-0.000276976,-0.001047988,-0.000310297,0.001439263,-0.000234467
AND,2000,0.0,8.0,,,0.007139,0.002326,0.006848001,,0.0,,,-0.024538428,,0.004467788,0.003359721,0.003262067,0.009788389,0.001594076
AND,2001,0.0,8.0,,,0.007139,0.002326,0.006848001,,0.0,,,0.01318574,,-0.00206354,0.003319556,-0.002021366,-0.007444452,0.000349472
AND,2002,0.0,8.0,,,0.007139,0.002326,0.006848001,,0.0,,,-0.002671287,,-0.001141384,-0.001370484,-0.000598087,-0.001755119,-0.000747642
AND,2003,0.0,8.0,,,0.007139,0.002326,0.006848001,,0.0,,,0.009959966,,-0.001387952,-0.015072382,-0.00148851,-0.002804256,0.000243945
AND,2004,0.0,8.0,,,0.007139,0.002326,0.006848001,,0.0,,,0.005462259,,-2.6731e-05,-0.005407317,-2.3756e-05,-0.001319579,0.000779393
AND,2005,0.0,8.0,,,0.007139,0.002326,0.006848001,,0.0,,,0.009652138,,-0.000247409,-0.002407898,2.8837e-05,-0.00022998,8.1503e-05
AND,2006,,8.0,,,0.007139,0.002326,0.006848001,,,,,-0.020523101,,0.000430612,-0.002476985,0.000632786,0.000838866,0.002024604
AND,2007,,8.0,,,0.007139,0.002326,0.006848001,,,,,0.001730263,,-0.000626564,-0.003379998,-0.000495595,-0.000686382,0.000705498
AND,2008,,8.0,,,0.007139,0.002326,0.006848001,,,,,0.015621766,,-0.00099378,-0.001399901,-0.000895687,-0.000602053,0.000729827
ANT,1991,0.0,7.0,,,,0.003866,0.002508,,0.0,,,-0.005542085,,-0.001012112,-0.001011374,0.546919631,0.008830635,0.001691714
ANT,1992,0.0,7.0,,,,0.003866,0.002508,,0.0,,,0.008693755,,-0.000394282,-0.000394864,0.631736472,0.007258428,0.001874329
ANT,1993,0.0,7.0,,,,0.003866,0.002508,,0.0,,,-0.00150393,,0.000687146,0.000687711,-0.073685265,0.027579073,-0.000673177
ANT,1994,0.0,7.0,,,,0.003866,0.002508,,0.0,,,0.00292021,,0.000674629,0.000674193,-0.154542395,-0.003056074,0.000133084
ANT,1995,0.0,7.0,,,,0.003866,0.002508,,0.0,,,-0.006439269,,0.000168184,0.000168348,-0.100694245,0.004354051,0.00109898
ANT,1996,0.0,7.0,,,,0.003866,0.002508,,0.0,,,0.001482815,,-0.000282591,-0.000282215,0.089120157,0.003182154,0.000359085
ANT,1997,0.0,7.0,,,,0.003866,0.002508,,0.0,,,-0.004356921,,-0.002592991,-0.002593091,-0.375144006,0.026081125,0.001064327
ANT,1998,0.0,7.0,,,,0.003866,0.002508,,0.0,,,0.008288056,,-0.000346348,-0.000346441,0.366406708,-0.004718022,0.000290395
ANT,1999,0.0,7.0,,,,0.003866,0.002508,,0.0,,,0.002353162,,-0.000748139,-0.000748619,-0.009512009,0.003444003,0.000100077
ANT,2000,0.0,8.0,,,,0.003866,0.002508,,0.0,,,-0.01221785,,-0.002266677,-0.002266213,0.406585299,0.108253632,0.001240561
ANT,2001,0.0,8.0,,,,0.003866,0.002508,,0.0,,,-0.001362011,,0.002428269,0.002428068,-0.172895395,0.046766872,-0.000906321
ANT,2002,0.0,8.0,,,,0.003866,0.002508,,0.0,,,0.006218895,,0.00106647,0.001066761,-0.207085922,0.031182941,0.000389931
ANT,2003,0.0,8.0,,,,0.003866,0.002508,,0.0,,,0.00173071,,0.000398159,0.000397396,-0.70018914,-0.125830155,0.002145508
ANT,2004,0.0,8.0,,,,0.003866,0.002508,,0.0,,,0.005054817,,0.005554698,0.00555511,0.868695303,-0.076860292,0.001772762
ANT,2005,0.0,8.0,,,,0.003866,0.002508,,0.0,,,0.00948821,,2.0655e-05,2.1232e-05,0.007794067,0.007759391,0.000837557
ANT,2006,,8.0,,,,0.003866,0.002508,,,,,-0.020339489,,-4.9944e-05,-5.0553e-05,-0.205535126,0.016729926,0.002765535
ANT,2007,,8.0,,,,0.003866,0.002508,,,,,0.00497058,,0.001432791,0.001433124,-0.156522273,0.015764456,0.001519747
ANT,2008,,8.0,,,,0.003866,0.002508,,,,,0.012528509,,0.000421092,0.00042067,0.1509409,-0.004654371,0.001222919
ARE,1991,0.0,7.0,0.001,-0.095670156,0.006252,0.00331,0.004874,0.01,1.0,0.00058715,0.000587145,-0.006785229,-0.057182312,-0.005505832,-0.006554129,-0.008801284,-0.000904471,-0.014416037
ARE,1992,0.0,7.0,0.001,-0.095670156,0.006252,0.00331,0.004874,0.01,1.0,0.000599235,0.000599235,0.014553875,-0.034778103,-0.000138413,0.000985868,-0.000699749,-0.00021818,0.00020038
ARE,1993,0.0,7.0,0.001,-0.095670156,0.006252,0.00331,0.004874,0.01,1.0,0.00060346,0.000603464,-0.004938737,-0.06907863,-0.001039682,-0.001324515,-0.001766213,-0.000335827,-0.002636931
ARE,1994,0.0,7.0,0.001,-0.095670156,0.006252,0.00331,0.004874,0.01,1.0,0.000599653,0.000599653,0.005665898,0.020433009,0.000274689,-0.002145109,0.000159993,0.000462031,0.000757065
ARE,1995,0.0,7.0,0.001,-0.095670156,0.006252,0.00331,0.004874,0.01,1.0,0.000581257,0.000581253,-0.006473035,0.016059529,0.001108714,0.000967651,0.001188964,0.000227106,0.002207125
ARE,1996,0.0,7.0,0.001,-0.095670156,0.006252,0.00331,0.004874,0.01,1.0,0.000560097,0.000560097,-0.01033093,0.002373822,-0.000475359,-0.001399412,-0.000812448,-0.000405339,-0.000693065
ARE,1997,0.0,7.0,0.001,-0.095670156,0.006252,0.00331,0.004874,0.01,1.0,0.000549167,0.000549167,0.006542966,0.007739255,-0.000338881,0.004455933,-6.6788e-05,-0.00049196,0.000175402
ARE,1998,0.0,7.0,0.001,-0.095670156,0.006252,0.00331,0.004874,0.01,1.0,0.000539281,0.000539284,0.000636175,-0.01614147,-0.000571871,0.003624941,-0.001455686,-0.000145961,-0.002300062
ARE,1999,0.0,7.0,0.001,-0.095670156,0.006252,0.00331,0.004874,0.01,1.0,0.000529386,0.000529382,0.007604823,-0.024214514,0.000752889,0.00156291,0.001762308,0.000582861,0.001579559
ARE,2000,0.0,8.0,0.001,-0.095670156,0.006252,0.00331,0.004874,0.01,1.0,0.000520296,0.0005203,-0.00765264,0.064979866,0.002596867,-0.001347949,0.002105788,0.000942835,0.002290513
ARE,2001,0.0,8.0,0.001,-0.095670156,0.006252,0.00331,0.004874,0.01,1.0,0.000508785,0.000508782,-0.004730657,-0.03548277,0.000265671,0.002764787,0.00316787,0.000517221,0.002715616
ARE,2002,0.0,8.0,0.001,-0.095670156,0.006252,0.00331,0.004874,0.01,1.0,0.00049185,0.00049185,0.009055123,-0.025299508,0.000107022,-0.001390605,-4.9515e-05,3.8792e-05,-0.001860399
ARE,2003,0.0,8.0,0.001,-0.095670156,0.006252,0.00331,0.004874,0.01,1.0,0.000476375,0.000476379,-0.001570508,0.06489782,0.000688938,-0.001580227,0.000313754,6.7512e-05,0.001426304
