,onset2COWCS,d2incidenceU,d3_6incidenceU,onsetUCS,coup,periregular,milexp_pergdpSIPRI,code3,year,decade,ecgrowth,logpop_M,logpopdens,logoutreg,democracy,logmountain,ethnic_fractionalization,religion_fractionalization,language_fractionalization,leg_british,opec,milexp_pergdpSIPRI_diff,logpop_M_diff,logpopdens_diff,logoutreg_diff,ecgrowth_demeaned
18,0.0,,,0.0,0.0,0.33333334,,AFG,1947.0,2.0,,,,0.13236815,0.0,0.041835755,0.0076929997,0.002717,0.006141,0.0,0.0,,,,0.012542978,
19,0.0,,,0.0,0.0,0.2,,AFG,1948.0,2.0,,,,0.11747687,0.0,0.041835755,0.0076929997,0.002717,0.006141,0.0,0.0,,,,-0.014891274,
20,0.0,,,0.0,0.0,0.2,,AFG,1949.0,2.0,,,,0.13445428,0.0,0.041835755,0.0076929997,0.002717,0.006141,0.0,0.0,,,,0.016977407,
21,0.0,,,0.0,0.0,0.2,,AFG,1950.0,3.0,,0.090058185,0.025326995,0.13774475,0.0,0.041835755,0.0076929997,0.002717,0.006141,0.0,0.0,,,,0.0032904744,
22,0.0,,,0.0,0.0,0.2,,AFG,1951.0,3.0,0.012456354,0.09022138,0.025490195,0.15657492,0.0,0.041835755,0.0076929997,0.002717,0.006141,0.0,0.0,,0.00016319752,0.00016319938,0.018830165,0.0050017694
23,0.0,,,0.0,0.0,0.16666667,,AFG,1952.0,3.0,0.016554328,0.09038998,0.025658796,0.12789021,0.0,0.041835755,0.0076929997,0.002717,0.006141,0.0,0.0,,0.00016859919,0.00016860105,-0.028684705,0.009099743
24,0.0,,,0.0,0.0,0.14285715,,AFG,1953.0,3.0,0.042865083,0.09056398,0.025832795,0.15163562,0.0,0.041835755,0.0076929997,0.002717,0.006141,0.0,0.0,,0.00017400086,0.000173999,0.023745403,0.035410497
25,0.0,,,0.0,0.0,0.14285715,,AFG,1954.0,3.0,0.0030795443,0.090743385,0.026012195,0.15096565,0.0,0.041835755,0.0076929997,0.002717,0.006141,0.0,0.0,,0.00017940253,0.00017940067,-0.0006699711,-0.00437504
26,0.0,,,0.0,0.0,0.14285715,,AFG,1955.0,3.0,0.0012943493,0.09092818,0.026196996,0.15128474,0.0,0.041835755,0.0076929997,0.002717,0.006141,0.0,0.0,,0.00018479675,0.00018480048,0.00031909347,-0.006160235
27,0.0,,,0.0,0.0,0.14285715,,AFG,1956.0,3.0,0.025296004,0.09111838,0.026387196,0.0324957,0.0,0.041835755,0.0076929997,0.002717,0.006141,0.0,0.0,,0.00019019842,0.00019020028,-0.11878904,0.017841421
