country,t,outp,outpd%,outptt%
BEN,2007,214.963228,0.743361503,0.171307196
BEN,2008,258.4431687,0.742252071,0.171243218
BFA,1990,108.1293975,0.817735358,0.135257396
BFA,1991,107.831357,0.827763177,0.128321119
BFA,1992,108.0466596,0.830764444,0.12480406
BFA,1993,98.93526291,0.842052956,0.117280179
BFA,1994,73.35840715,0.797510203,0.145508748
BFA,1995,84.42958907,0.795720923,0.145592081
BFA,1996,88.7969209,0.794230616,0.146613346
BFA,1997,83.29762693,0.791201019,0.147334459
BFA,1998,93.13352346,0.827228901,0.123715786
BFA,1999,89.09055064,0.824879195,0.125021309
BFA,2000,81.77515524,0.82350121,0.124696995
BFA,2001,86.77082995,0.816388695,0.129441909
BFA,2002,93.69182622,0.818790174,0.127722571
BFA,2003,122.2524139,0.819184733,0.127486193
BFA,2004,150.8675885,0.812568969,0.131735988
BFA,2005,169.8809952,0.812524392,0.131674536
BFA,2006,186.8906183,0.793942447,0.14375614
BFA,2007,209.3970979,0.769190373,0.160667291
BFA,2008,264.2822659,0.75623457,0.170676706
BGD,1990,986.8610903,0.828219645,0.130849452
BGD,1991,1048.614254,0.838409563,0.125107913
BGD,1992,1072.100533,0.83114856,0.131359911
BGD,1993,1148.00265,0.836520353,0.128545995
BGD,1994,1255.388439,0.833891119,0.129581094
BGD,1995,1430.264708,0.815418507,0.141446523
BGD,1996,1512.461693,0.805169334,0.148154283
BGD,1997,1546.57665,0.796029531,0.156214698
BGD,1998,1658.154932,0.788909082,0.165052785
BGD,1999,1643.983785,0.789037343,0.165211626
BGD,2000,1610.084118,0.777862774,0.171574263
BGD,2001,1677.27258,0.766523093,0.180489378
BGD,2002,1797.57859,0.770616721,0.178123101
BGD,2003,1961.123791,0.770745576,0.174911842
BGD,2004,2179.926495,0.750724072,0.187711441
BGD,2005,2278.643755,0.734510782,0.197979114
BGD,2006,2488.9095,0.693809497,0.224151663
BGD,2007,2897.028512,0.679700285,0.230850303
BGD,2008,3397.887292,0.671013909,0.233180991
BGR,1990,1489.727193,0.542142548,0.315285916
BGR,1991,593.128107,0.344351123,0.404218623
BGR,1992,708.7384867,0.304612894,0.405271083
BGR,1993,855.5746014,0.392874767,0.369870549
BGR,1994,592.8758766,0.314960337,0.394961455
BGR,1995,797.4069101,0.320432366,0.384080132
BGR,1996,650.0522709,0.241449251,0.399743713
