country,t,s1,s2,s6,s10,s19,onset2COWCS,decade,ecgrowth,logpop_M,logpopdens,logoutreg,democracy,logmountain,ethnic_fractionalization,religion_fractionalization,language_fractionalization,leg_british,opec,logpop_M_diff,logpopdens_diff,logoutreg_diff,ecgrowth_demeaned,democracy_diff,avgs1,avgs2,avgs6,avgs10,avgs19,outp,gross_output,trans_outp_p
FJI,1991,-0.000153944,0.000560093,-2.52e-05,-0.00280154,-0.00265921,0.0,7,,,,0.16698068,0.0075,-0.009162908,0.005479,0.005682,0.005479,0.01,0.0,,,-0.00530684,,-0.25,0.000161764,-0.000444048,0.00930487,0.001992938,-0.000399338,160.9459976,2924.813208,0.055027787
GAB,1991,0.000588852,-0.000329778,0.000304787,0.003138755,0.00025771,0.0,7,0.036319505,0.06867376,0.013157078,0.16698153,0.003,-0.026592601,0.00769,0.006674,0.007821,0.0,1.0,0.000235364,0.000235364,-0.00549379,0.02871061,0.0,0.000161764,-0.000444048,0.00930487,0.001992938,-0.000399338,580.4774007,11748.98741,0.04940659
GBR,1991,0.000153805,0.000822789,0.000502687,0.003111967,0.000126205,0.0,7,-0.01659749,0.10962417,0.054751746,0.16392769,0.01,-0.002231435,0.001211,0.006944,0.000532,0.01,0.0,2.99e-05,2.99e-05,-0.002113208,-0.03571171,2.333333333,0.000161764,-0.000444048,0.00930487,0.001992938,-0.000399338,97350.21286,3672062.936,0.026511041
GEO,1991,2.54e-05,-0.001680318,5.25e-05,4.09e-06,-0.000404245,1.0,7,-0.2101191,0.0859788,0.043536793,0.15959682,0.007,0.041075896,0.004923,0.006543,0.004749,0.0,0.0,-1.12e-05,-1.12e-05,-0.006785229,-0.21137737,-0.3,0.000161764,-0.000444048,0.00930487,0.001992938,-0.000399338,1492.637092,23483.82717,0.063560214
GHA,1991,-6.41e-05,-0.000392626,-0.000264181,-0.000857477,-0.000176266,0.0,7,0.023633946,0.09671303,0.042291448,0.16698153,0.003,-0.095670156,0.006733,0.007987,0.006731,0.01,0.0,0.000282846,0.000282843,-0.00549379,0.015845146,-0.625,0.000161764,-0.000444048,0.00930487,0.001992938,-0.000399338,707.0465497,16975.48554,0.041651035
GIN,1991,-0.000170884,0.00011476,-0.000584418,-0.006329494,-0.001524133,0.0,7,-0.04382763,0.08787598,0.03282848,0.16698153,0.0025,0.011631508,0.007389,0.002649,0.007725,0.0,0.0,0.000685334,0.000685338,-0.00549379,-0.05674032,-0.722222222,0.000161764,-0.000444048,0.00930487,0.001992938,-0.000399338,293.4488425,6213.643808,0.047226531
GMB,1991,0.000151975,0.001217496,0.000345783,0.003355304,0.000639122,0.0,7,-0.016597303,0.06894176,0.045915905,0.16698153,0.009,-0.095670156,0.007864,0.00097,0.008076,0.01,0.0,0.000384979,0.000384983,-0.00549379,-0.027900148,1.0,0.000161764,-0.000444048,0.00930487,0.001992938,-0.000399338,51.96964172,1457.602076,0.035654204
GRC,1991,0.000270113,0.000895203,0.000279651,0.0013123,-0.000678946,0.0,7,0.018802786,0.09235119,0.043614496,0.16392769,0.01,0.0308191,0.001576,0.00153,0.0003,0.0,0.0,0.000119016,0.000119016,-0.002113208,-0.009704318,3.0,0.000161764,-0.000444048,0.00930487,0.001992938,-0.000399338,7401.742478,308756.2215,0.023972772
GRL,1991,8.74e-05,2.56e-05,8.46e-05,-0.001776273,-0.000779838,0.0,7,,,,0.16458338,,,,0.004592,0.002188,0.0,0.0,,,-0.007742658,,0.0,0.000161764,-0.000444048,0.00930487,0.001992938,-0.000399338,202.0414057,1930.615814,0.104651275
GTM,1991,-0.00226179,0.000480143,-0.000136917,0.000403259,-0.00161194,0.0,7,0.009203147,0.09128371,0.04442266,0.1669678,0.0065,0.037400477,0.005122,0.003753,0.004586,0.0,0.0,0.00027176,0.00027176,-0.005542085,-0.006621482,-0.35,0.000161764,-0.000444048,0.00930487,0.001992938,-0.000399338,768.3838164,16937.86956,0.045364844
