country,t,1.0,2.0,6.0,10.0,19.0,onset2COWCS,decade,ecgrowth,logpop_M,logpopdens,logoutreg,democracy,logmountain,ethnic_fractionalization,religion_fractionalization,language_fractionalization,leg_british,opec
ARE,2003.0,0.000688938,-0.001580227,0.000313754,6.75e-05,0.001426304,0.0,8.0,0.06694198,0.08224619,0.037985757,0.16795917,0.001,-0.095670156,0.006252,0.00331,0.004874,0.01,1.0
ARE,2004.0,-0.00048373,-0.003483346,0.000750649,0.000442223,0.002647179,0.0,8.0,0.047526952,0.08270768,0.038447246,0.17561467,0.001,-0.095670156,0.006252,0.00331,0.004874,0.01,1.0
ARE,2005.0,0.00091665,-0.000514081,0.001064905,0.000496023,0.001287595,0.0,8.0,0.03470736,0.08315469,0.038894255,0.18637902,0.001,-0.095670156,0.006252,0.00331,0.004874,0.01,1.0
ARE,2006.0,0.00105648,-3.63e-06,0.002012337,0.000391626,0.002678426,,8.0,0.048011843,0.083584115,0.039323684,0.15531127,0.001,-0.095670156,0.006252,0.00331,0.004874,0.01,1.0
ARE,2007.0,-0.000529695,-0.001128213,-0.001484805,-0.000285911,-0.000837449,,8.0,0.020390125,0.08399313,0.03973269,0.16843173,0.001,-0.095670156,0.006252,0.00331,0.004874,0.01,1.0
ARE,2008.0,-0.000215465,-0.000787679,-0.000573524,-0.000409142,5.59e-06,,8.0,0.032776706,0.08438453,0.040124092,0.17586218,0.001,-0.095670156,0.006252,0.00331,0.004874,0.01,1.0
ARG,1991.0,-0.004417323,0.003950735,-0.001128316,-0.000522938,-0.002693933,0.0,7.0,0.084635586,0.1041942,0.025049157,0.1669678,0.0085,0.03346389,0.00255,0.002236,0.000618,0.0,0.0
ARG,1992.0,-0.000665725,0.000892305,-0.000195089,-0.000162806,-0.000449583,0.0,7.0,0.07415373,0.10433145,0.025186403,0.17566155,0.0085,0.03346389,0.00255,0.002236,0.000618,0.0,0.0
ARG,1993.0,-0.000657709,-6.89e-05,5.55e-05,-1.03e-05,2.03e-05,0.0,7.0,0.044472717,0.10446015,0.025315108,0.17415762,0.0085,0.03346389,0.00255,0.002236,0.000618,0.0,0.0
ARG,1994.0,0.000877091,-0.000481911,0.000277118,5.24e-05,0.000552183,0.0,7.0,0.06932425,0.10458722,0.02544218,0.17707783,0.0085,0.03346389,0.00255,0.002236,0.000618,0.0,0.0
ARG,1995.0,0.003654057,-0.001426302,0.001077948,0.000322332,0.002179465,0.0,7.0,-0.042731386,0.104709014,0.02556397,0.17063856,0.0085,0.03346389,0.00255,0.002236,0.000618,0.0,0.0
ARG,1996.0,0.000638648,3.41e-05,0.000173675,-5.54e-05,0.000269036,0.0,7.0,0.03203458,0.1048243,0.025679253,0.17212138,0.0085,0.03346389,0.00255,0.002236,0.000618,0.0,0.0
ARG,1997.0,-8.95e-06,0.00053559,0.000137317,0.002164821,-6.4e-05,0.0,7.0,0.0674681,0.10494103,0.02579599,0.16776446,0.0085,0.03346389,0.00255,0.002236,0.000618,0.0,0.0
ARG,1998.0,-0.000865922,0.001073045,-0.000238237,0.000453359,-0.000624163,0.0,7.0,0.03704964,0.10505561,0.025910562,0.17605251,0.0085,0.03346389,0.00255,0.002236,0.000618,0.0,0.0
ARG,1999.0,0.00061683,8.49e-05,0.000190913,0.000669428,0.000115403,0.0,7.0,-0.044596888,0.1051659,0.026020855,0.17840567,0.009,0.03346389,0.00255,0.002236,0.000618,0.0,0.0
ARG,2000.0,0.002000465,-0.002143843,0.000725525,0.000251541,0.001573119,0.0,8.0,-0.01897143,0.105277136,0.026132088,0.16618782,0.009,0.03346389,0.00255,0.002236,0.000618,0.0,0.0
ARG,2001.0,0.00215948,0.000764142,0.000481805,0.001364089,0.00097344,0.0,8.0,-0.053175386,0.10537256,0.026227517,0.16482581,0.009,0.03346389,0.00255,0.002236,0.000618,0.0,0.0
ARG,2002.0,0.028083954,-0.001276714,0.006343219,0.003371966,0.016507183,0.0,8.0,-0.11609067,0.10545315,0.026308106,0.1710447,0.009,0.03346389,0.00255,0.002236,0.000618,0.0,0.0
ARG,2003.0,-0.003560927,-0.026395453,0.000169019,-0.000656747,-0.000251967,0.0,8.0,0.07843541,0.105541445,0.026396403,0.17277542,0.009,0.03346389,0.00255,0.002236,0.000618,0.0,0.0
ARG,2004.0,0.003570086,-0.013211397,0.000923654,1.33e-05,0.003030773,0.0,8.0,0.07857727,0.1056468,0.026501752,0.17783023,0.009,0.03346389,0.00255,0.002236,0.000618,0.0,0.0
ARG,2005.0,-0.001779196,-1.86e-05,-0.00027436,-0.000424269,-0.000419073,0.0,8.0,0.0797647,0.10575947,0.026614428,0.18731844,0.009,0.03346389,0.00255,0.002236,0.000618,0.0,0.0
ARG,2006.0,0.00427088,-0.001970466,0.000988518,0.000991033,0.003204482,,8.0,0.07313927,0.105869375,0.026724335,0.16697896,0.009,0.03346389,0.00255,0.002236,0.000618,0.0,
ARG,2007.0,0.001104064,0.001522914,0.000101579,-0.000227374,0.000855556,,8.0,0.07519496,0.10597859,0.026833545,0.17194954,0.009,0.03346389,0.00255,0.002236,0.000618,0.0,
ARG,2008.0,0.001095989,0.003010097,0.000406289,0.001231263,0.000622548,,8.0,0.056577116,0.10608613,0.026941083,0.18447804,0.009,0.03346389,0.00255,0.002236,0.000618,0.0,
