country,t,outp
CZE,1999,9340.709742
CZE,2000,8943.203318
CZE,2001,9869.129861
CZE,2002,11915.88175
CZE,2003,14470.35833
CZE,2004,17351.09552
CZE,2005,19714.88082
CZE,2006,22684.94811
CZE,2007,27624.96604
CZE,2008,34589.51178
DEU,1990,118067.131
DEU,1991,124715.0835
DEU,1992,139711.3069
DEU,1993,136699.4509
DEU,1994,147291.1985
DEU,1995,171260.211
DEU,1996,166694.3745
DEU,1997,151519.4462
DEU,1998,157383.6029
DEU,1999,157141.4591
DEU,2000,148567.8772
DEU,2001,146984.7489
DEU,2002,155929.3412
DEU,2003,187164.7302
DEU,2004,215745.9699
DEU,2005,226214.8016
DEU,2006,245297.6256
DEU,2007,311231.0968
DEU,2008,359943.9208
DJI,1990,70.31028722
DJI,1991,71.98298824
DJI,1992,75.36137621
DJI,1993,72.86684147
DJI,1994,76.03304641
DJI,1995,74.40945427
DJI,1996,70.12162238
DJI,1997,62.0601559
DJI,1998,57.96461948
DJI,1999,61.37298736
DJI,2000,58.45183455
DJI,2001,67.95967731
DJI,2002,70.71402803
DJI,2003,80.24829579
DJI,2004,90.752507
DJI,2005,97.60088409
DJI,2006,113.332029
DJI,2007,127.4449791
DJI,2008,148.9614131
DNK,1990,13763.36852
DNK,1991,13745.85715
DNK,1992,15127.56301
DNK,1993,14410.8187
DNK,1994,15885.64122
DNK,1995,19172.90077
DNK,1996,19469.31065
DNK,1997,17685.60185
DNK,1998,17614.67706
DNK,1999,17465.82383
DNK,2000,15383.49805
DNK,2001,15879.78458
DNK,2002,17205.85153
DNK,2003,21488.49892
DNK,2004,24733.95851
DNK,2005,26413.05421
DNK,2006,32831.43578
DNK,2007,40738.22558
DNK,2008,48321.06162
DOM,1990,579.10116
DOM,1991,618.201229
DOM,1992,721.1907365
DOM,1993,804.5157449
DOM,1994,872.6574256
DOM,1995,976.7787812
DOM,1996,1077.010211
DOM,1997,1253.955424
DOM,1998,1406.392996
DOM,1999,1505.647567
DOM,2000,1800.189611
DOM,2001,1747.812268
DOM,2002,1753.972949
DOM,2003,1432.783277
DOM,2004,1571.163604
DOM,2005,2363.130822
DOM,2006,2576.361706
DOM,2007,2944.018923
DOM,2008,3298.214105
DZA,1990,3824.81979
DZA,1991,2959.304335
DZA,1992,3149.559882
DZA,1993,3221.774736
DZA,1994,2888.2008
DZA,1995,3045.821508
DZA,1996,3387.610834
DZA,1997,3433.600006
DZA,1998,3504.961794
DZA,1999,3684.333111
DZA,2000,4227.427521
DZA,2001,4163.305412
DZA,2002,4228.891017
DZA,2003,5061.179908
DZA,2004,6482.210956
DZA,2005,7862.229871
DZA,2006,9090.714305
DZA,2007,10582.71831
DZA,2008,13351.19092
ECU,1990,1619.423761
ECU,1991,1791.035806
ECU,1992,1955.464545
ECU,1993,2227.623694
ECU,1994,2714.463313
ECU,1995,2961.305205
ECU,1996,3088.761321
ECU,1997,3465.856459
ECU,1998,3526.336871
ECU,1999,2581.095984
ECU,2000,2429.156464
ECU,2001,3446.898233
ECU,2002,3933.32397
ECU,2003,4574.564167
ECU,2004,5038.933201
ECU,2005,5717.630264
ECU,2006,6101.801339
ECU,2007,6416.913459
ECU,2008,7815.823817
EGY,1990,2245.261916
EGY,1991,2119.215888
EGY,1992,2474.115651
EGY,1993,2890.324554
EGY,1994,3302.584614
EGY,1995,4099.612018
EGY,1996,4276.179819
EGY,1997,4523.087495
EGY,1998,4757.491385
EGY,1999,4852.646702
EGY,2000,5425.366013
EGY,2001,5724.144278
EGY,2002,5532.105146
EGY,2003,4955.223385
EGY,2004,5833.904152
EGY,2005,7131.262991
EGY,2006,8360.158811
EGY,2007,10085.89555
