country,t,s1,s2,s6,s10,s19,onset2COWCS,decade,ecgrowth,logpop_M,logpopdens,logoutreg,democracy,logmountain,ethnic_fractionalization,religion_fractionalization,language_fractionalization,leg_british,opec,logpop_M_diff,logpopdens_diff,logoutreg_diff,ecgrowth_demeaned,democracy_diff,avgs1,avgs2,avgs6,avgs10,avgs19
EGY,1991,0.008301796,0.004399425,0.007068758,0.007752806,0.003462,0.0,7,-0.05607751,0.10970422,0.040672265,0.16698153,0.002,0.0,0.001836,0.001979,0.000237,0.0,0.0,0.000251882,0.000251878,-0.00549379,-0.08111934,-0.733333333,0.001930472127071823,-0.009160140044198895,-0.011416511756906077,0.003105176099447514,0.0010563133370165745
ERI,1991,7.98e-05,-0.001289993,-0.006108488,-0.00556312,-0.000860709,0.0,7,,,,0.16698153,,,0.006524,0.004253,0.00653,,0.0,,,-0.00549379,,-1.0,0.001930472127071823,-0.009160140044198895,-0.011416511756906077,0.003105176099447514,0.0010563133370165745
ESP,1991,0.000188936,0.000132237,0.001218442,0.010419838,-0.000315019,0.0,7,0.022584591,0.10583079,0.04369387,0.16392769,0.01,0.030726934,0.004165,0.004514,0.004132,0.0,0.0,2.81e-05,2.81e-05,-0.002113208,-0.004291508,5.666666667,0.001930472127071823,-0.009160140044198895,-0.011416511756906077,0.003105176099447514,0.0010563133370165745
EST,1991,-0.010794511,-0.061719811,-0.038536982,-0.057003132,-0.030217378,0.0,7,-0.09435895,0.07352151,0.035860557,0.16392769,0.008,,0.005062,0.004985,0.004944,0.0,0.0,-6.25e-05,-6.25e-05,-0.002113208,-0.13138756,-0.2,0.001930472127071823,-0.009160140044198895,-0.011416511756906077,0.003105176099447514,0.0010563133370165745
ETH,1991,-0.005075891,-0.006078747,-0.001123958,-0.000721855,-0.001688181,,7,,,,0.16698153,0.005,0.042541932,0.007235,0.006249,0.008072999,0.0,0.0,,,-0.00549379,,-0.473684211,0.001930472127071823,-0.009160140044198895,-0.011416511756906077,0.003105176099447514,0.0010563133370165745
FIN,1991,0.007251177,-0.001349505,0.01263334,0.010726489,-8.79e-05,0.0,7,-0.06898093,0.08519947,0.028013643,0.16392769,0.01,-0.017719569,0.001315,0.002531,0.001412,0.0,0.0,5.47e-05,5.47e-05,-0.002113208,-0.09743617,0.818181818,0.001930472127071823,-0.009160140044198895,-0.011416511756906077,0.003105176099447514,0.0010563133370165745
FJI,1991,-0.001148828,-0.014976144,-0.021073829,-0.005782968,-0.004270295,0.0,7,,,,0.16698068,0.0075,-0.009162908,0.005479,0.005682,0.005479,0.01,0.0,,,-0.00530684,,-0.25,0.001930472127071823,-0.009160140044198895,-0.011416511756906077,0.003105176099447514,0.0010563133370165745
GAB,1991,0.007048796,0.001290233,0.013455045,0.006658846,0.002846693,0.0,7,0.036319505,0.06867376,0.013157078,0.16698153,0.003,-0.026592601,0.00769,0.006674,0.007821,0.0,1.0,0.000235364,0.000235364,-0.00549379,0.02871061,0.0,0.001930472127071823,-0.009160140044198895,-0.011416511756906077,0.003105176099447514,0.0010563133370165745
GBR,1991,0.00160656,0.001836682,0.004547385,0.004035271,0.002048298,0.0,7,-0.01659749,0.10962417,0.054751746,0.16392769,0.01,-0.002231435,0.001211,0.006944,0.000532,0.01,0.0,2.99e-05,2.99e-05,-0.002113208,-0.03571171,2.333333333,0.001930472127071823,-0.009160140044198895,-0.011416511756906077,0.003105176099447514,0.0010563133370165745
GEO,1991,1.89e-05,-0.002250844,9.18e-06,-3.09e-05,-0.000264991,1.0,7,-0.2101191,0.0859788,0.043536793,0.15959682,0.007,0.041075896,0.004923,0.006543,0.004749,0.0,0.0,-1.12e-05,-1.12e-05,-0.006785229,-0.21137737,-0.3,0.001930472127071823,-0.009160140044198895,-0.011416511756906077,0.003105176099447514,0.0010563133370165745
GHA,1991,0.001587823,-0.003236001,-0.002044252,-0.0001165,-0.000332521,0.0,7,0.023633946,0.09671303,0.042291448,0.16698153,0.003,-0.095670156,0.006733,0.007987,0.006731,0.01,0.0,0.000282846,0.000282843,-0.00549379,0.015845146,-0.625,0.001930472127071823,-0.009160140044198895,-0.011416511756906077,0.003105176099447514,0.0010563133370165745
GIN,1991,-0.000765634,-0.009848666,-0.007918237,-0.004891447,-0.007323469,0.0,7,-0.04382763,0.08787598,0.03282848,0.16698153,0.0025,0.011631508,0.007389,0.002649,0.007725,0.0,0.0,0.000685334,0.000685338,-0.00549379,-0.05674032,-0.722222222,0.001930472127071823,-0.009160140044198895,-0.011416511756906077,0.003105176099447514,0.0010563133370165745
GMB,1991,0.001082658,0.009901166,0.003615567,0.003785516,0.000810011,0.0,7,-0.016597303,0.06894176,0.045915905,0.16698153,0.009,-0.095670156,0.007864,0.00097,0.008076,0.01,0.0,0.000384979,0.000384983,-0.00549379,-0.027900148,1.0,0.001930472127071823,-0.009160140044198895,-0.011416511756906077,0.003105176099447514,0.0010563133370165745
GRC,1991,-0.00015251,0.00033847,-0.000386048,0.00013553,-0.00064018,0.0,7,0.018802786,0.09235119,0.043614496,0.16392769,0.01,0.0308191,0.001576,0.00153,0.0003,0.0,0.0,0.000119016,0.000119016,-0.002113208,-0.009704318,3.0,0.001930472127071823,-0.009160140044198895,-0.011416511756906077,0.003105176099447514,0.0010563133370165745
GRL,1991,-0.007732673,-0.0082362,-0.01529715,-0.004085257,-0.013414919,0.0,7,,,,0.16458338,,,,0.004592,0.002188,0.0,0.0,,,-0.007742658,,-1.0,0.001930472127071823,-0.009160140044198895,-0.011416511756906077,0.003105176099447514,0.0010563133370165745
GTM,1991,-0.004849839,-0.006787874,0.002282552,7.16e-05,-0.00186337,0.0,7,0.009203147,0.09128371,0.04442266,0.1669678,0.0065,0.037400477,0.005122,0.003753,0.004586,0.0,0.0,0.00027176,0.00027176,-0.005542085,-0.006621482,,0.001930472127071823,-0.009160140044198895,-0.011416511756906077,0.003105176099447514,0.0010563133370165745
GUY,1991,0.003463979,0.003371666,0.005475914,0.004132912,0.003313753,0.0,7,,,,0.1669678,0.0015,0.008329091,0.006195,0.007875999,0.000688,0.01,0.0,,,-0.005542085,,-0.833333333,0.001930472127071823,-0.009160140044198895,-0.011416511756906077,0.003105176099447514,0.0010563133370165745
HKG,1991,-0.010679968,-0.015988512,-0.013042843,-0.001170162,-0.005470254,0.0,7,0.04462224,0.08657303,0.086161606,0.15959682,,-0.095670156,0.00062,0.004191,0.002128,0.01,0.0,0.00011196,0.00011196,-0.006785229,-0.003001332,-1.0,0.001930472127071823,-0.009160140044198895,-0.011416511756906077,0.003105176099447514,0.0010563133370165745
HND,1991,0.006631139,0.00067365,0.019454598,0.007015463,0.008713907,0.0,7,-0.00194426,0.08503321,0.037858047,0.1669678,0.008,0.03966511,0.001867,0.002357,0.000553,0.0,0.0,0.000285611,0.000285611,-0.005542085,-0.008027147,,0.001930472127071823,-0.009160140044198895,-0.011416511756906077,0.003105176099447514,0.0010563133370165745
HRV,1991,0.018536172,0.014630904,0.035234561,0.015189911,0.012870742,0.0,7,,0.084208235,0.043881062,0.16392769,0.0035,,0.00369,0.004447,0.000763,,0.0,,,-0.002113208,,-0.588235294,0.001930472127071823,-0.009160140044198895,-0.011416511756906077,0.003105176099447514,0.0010563133370165745
HTI,1991,0.003281366,0.023054698,0.009938431,0.003012824,0.002584893,0.0,7,-0.01702563,0.08764678,0.054483127,0.1669678,0.0015,0.027343675,0.00095,0.004704,,0.0,0.0,0.000181206,0.000181209,-0.005542085,-0.011350479,-0.842105263,0.001930472127071823,-0.009160140044198895,-0.011416511756906077,0.003105176099447514,0.0010563133370165745
HUN,1991,0.007632014,0.000328696,0.02469424,0.020375943,0.001920565,0.0,7,-0.118375875,0.092461646,0.04720687,0.16392769,0.01,-0.095670156,0.001522,0.005244,0.000297,0.0,0.0,-6.89e-06,-6.89e-06,-0.002113208,-0.14381711,0.333333333,0.001930472127071823,-0.009160140044198895,-0.011416511756906077,0.003105176099447514,0.0010563133370165745
IDN,1991,0.000836503,0.00086181,-0.015526377,-0.00029093,0.007710528,0.0,7,0.03499538,0.12113397,0.046032727,0.15959682,0.0015,0.023513753,0.007351,0.00234,0.00768,0.0,1.0,0.000164509,0.000164505,-0.006785229,0.008659625,-0.85,0.001930472127071823,-0.009160140044198895,-0.011416511756906077,0.003105176099447514,0.0010563133370165745
IND,1991,0.000694354,0.000185744,0.007379118,0.00482169,0.001849881,,7,-0.00450258,0.13657363,0.056599725,0.15959682,0.009,0.025572272,0.004182,0.00326,0.008069,0.01,0.0,0.000173971,0.000173975,-0.006785229,-0.023188943,0.0,0.001930472127071823,-0.009160140044198895,-0.011416511756906077,0.003105176099447514,0.0010563133370165745
