country,t,s1,s2,s6,s10,s19,onset2COWCS,decade,ecgrowth,logpop_M,logpopdens,logoutreg,democracy,logmountain,ethnic_fractionalization,religion_fractionalization,language_fractionalization,leg_british,opec,logpop_M_diff,logpopdens_diff,logoutreg_diff,ecgrowth_demeaned,democracy_diff,trans_outp,gross output,trans_outp_p,avgs1,avgs2,avgs6,avgs10,avgs19
DEU,1991,0.000806551,0.002488418,0.000920808,0.001157619,0.000374499,0.0,7,0.045243565,0.11289585,0.054338742,0.16392769,0.01,0.006931472,0.001682,0.006571,0.001642,0.0,0.0,7.58e-05,7.58e-05,-0.002113208,0.020464532,0.111111111,124715.0835,407118.7351,0.306335898,-0.00048471760220994474,-0.002022898563535912,0.0029283977790055243,-0.0006795704640883978,-0.000736694729281768
DJI,1991,0.004951168,0.015363866,0.000767382,0.000354903,-0.001231446,0.0,7,-0.0194776,0.05927531,0.027929068,0.16698153,0.001,0.013609766,0.007962,0.000435,0.006558,0.0,0.0,0.000246573,0.000246573,-0.00549379,-0.017349932,-0.9,71.98298824,137.3161701,0.524213486,-0.00048471760220994474,-0.002022898563535912,0.0029283977790055243,-0.0006795704640883978,-0.000736694729281768
DNK,1991,0.002046171,0.003810056,0.001152662,0.00142858,-0.000354009,0.0,7,0.01037085,0.08547597,0.048005898,0.16392769,0.01,-0.095670156,0.000819,0.002333,0.001049,0.0,0.0,2.6e-05,2.6e-05,-0.002113208,-0.011074436,0.666666667,13745.85715,30944.20306,0.444214289,-0.00048471760220994474,-0.002022898563535912,0.0029283977790055243,-0.0006795704640883978,-0.000736694729281768
DOM,1991,-0.000499693,0.001011997,0.001868379,0.000422827,0.000990738,0.0,7,-0.011539023,0.08885026,0.050059393,0.1669678,0.008,0.027972814,0.004294,0.003118,0.000395,0.0,0.0,0.000195734,0.00019573,-0.005542085,-0.038341284,-0.2,618.201229,2112.955865,0.292576499,-0.00048471760220994474,-0.002022898563535912,0.0029283977790055243,-0.0006795704640883978,-0.000736694729281768
DZA,1991,0.008596865,0.003951262,0.014353079,0.002776394,0.033981284,0.0,7,-0.035002682,0.101537436,0.023781568,0.16698153,0.004,0.027536606,0.003394,9.1e-05,0.004427,0.0,1.0,0.000235572,0.000235572,-0.00549379,-0.053634264,-0.555555556,2959.304335,7438.503145,0.397836,-0.00048471760220994474,-0.002022898563535912,0.0029283977790055243,-0.0006795704640883978,-0.000736694729281768
ECU,1991,0.00482339,0.001197311,-7.82e-05,-0.000162237,-0.001071813,0.0,7,0.038819496,0.092523456,0.03628906,0.1669678,0.0095,0.03637586,0.00655,0.001417,0.001308,0.0,1.0,0.000106968,0.000106968,-0.005542085,0.021536643,0.583333333,1791.035806,5134.117669,0.348849777,-0.00048471760220994474,-0.002022898563535912,0.0029283977790055243,-0.0006795704640883978,-0.000736694729281768
EGY,1991,-0.000155223,0.000234428,0.000650012,5.69e-05,0.00069588,0.0,7,-0.05607751,0.10970422,0.040672265,0.16698153,0.002,0.0,0.001836,0.001979,0.000237,0.0,0.0,0.000251882,0.000251878,-0.00549379,-0.08111934,-0.733333333,2119.215888,8465.966516,0.250321789,-0.00048471760220994474,-0.002022898563535912,0.0029283977790055243,-0.0006795704640883978,-0.000736694729281768
ERI,1991,-0.002408015,-0.006214867,-0.000184564,-0.00046354,-0.002490205,0.0,7,,,,0.16698153,,,0.006524,0.004253,0.00653,,0.0,,,-0.00549379,,0.0,58.8932059,154.9773026,0.380011814,-0.00048471760220994474,-0.002022898563535912,0.0029283977790055243,-0.0006795704640883978,-0.000736694729281768
ESP,1991,0.000751586,0.000216621,-0.000921579,-0.000381985,-0.000477527,0.0,7,0.022584591,0.10583079,0.04369387,0.16392769,0.01,0.030726934,0.004165,0.004514,0.004132,0.0,0.0,2.81e-05,2.81e-05,-0.002113208,-0.004291508,5.666666667,41185.14912,116455.5424,0.353655552,-0.00048471760220994474,-0.002022898563535912,0.0029283977790055243,-0.0006795704640883978,-0.000736694729281768
EST,1991,0.000924782,0.006211595,0.001404821,0.016065538,0.006792225,0.0,7,-0.09435895,0.07352151,0.035860557,0.16392769,0.008,,0.005062,0.004985,0.004944,0.0,0.0,-6.25e-05,-6.25e-05,-0.002113208,-0.13138756,-0.2,1150.851992,2230.232341,0.516023363,-0.00048471760220994474,-0.002022898563535912,0.0029283977790055243,-0.0006795704640883978,-0.000736694729281768
