country,t,gross_output
BLR,2019,126373.4096
BLR,2020,114038.1165
BLZ,1990,648.2016389
BLZ,1991,703.4149442
BLZ,1992,797.3218029
BLZ,1993,867.9433666
BLZ,1994,941.8887775
BLZ,1995,1025.124421
BLZ,1996,1291.563476
BLZ,1997,1317.789021
BLZ,1998,1401.210713
BLZ,1999,1526.497556
BLZ,2000,1864.970675
BLZ,2001,1836.080588
BLZ,2002,1920.029134
BLZ,2003,2004.957343
BLZ,2004,2137.437839
BLZ,2005,2248.692949
BLZ,2006,2431.591488
BLZ,2007,2599.353073
BLZ,2008,2812.412032
BLZ,2009,2713.459007
BLZ,2010,2867.985456
BLZ,2011,3073.663895
BLZ,2012,3155.937962
BLZ,2013,3283.028861
BLZ,2014,3382.26126
BLZ,2015,3267.121381
BMU,1990,3276.584364
BMU,1991,3395.017808
BMU,1992,3503.841675
BMU,1993,3686.527634
BMU,1994,3849.08774
BMU,1995,4058.572481
BMU,1996,4235.986245
BMU,1997,4477.85688
BMU,1998,4847.748689
BMU,1999,5087.147763
BMU,2000,5153.821649
BMU,2001,5294.789147
BMU,2002,6002.631801
BMU,2003,6502.683237
BMU,2004,7699.480259
BMU,2005,8556.556903
BMU,2006,9570.940134
BMU,2007,10392.66057
BMU,2008,10969.47995
BMU,2009,10382.46257
BMU,2010,10225.40659
BMU,2011,10653.22423
BMU,2012,10235.76626
BMU,2013,10150.42057
BMU,2014,10407.00511
BMU,2015,10163.73673
BOL,1990,8415.927266
BOL,1991,9322.81603
BOL,1992,9997.354813
BOL,1993,10334.51471
BOL,1994,10814.51774
BOL,1995,12230.4884
BOL,1996,13499.2869
BOL,1997,14556.69461
BOL,1998,15929.16757
BOL,1999,15614.08694
BOL,2000,15888.61376
BOL,2001,15375.94289
BOL,2002,14826.99165
BOL,2003,15107.14222
BOL,2004,16496.81076
BOL,2005,18027.27081
BOL,2006,21758.18728
BOL,2007,25207.09492
BOL,2008,32274.23428
BOL,2009,33037.66411
BOL,2010,37852.67515
BOL,2011,46314.02627
BOL,2012,47220.23577
BOL,2013,53146.7907
BOL,2014,53859.08737
BOL,2015,52938.35336
BRA,1965,32856.36064
BRA,1966,41162.07682
BRA,1967,47693.58409
BRA,1968,52493.12517
BRA,1969,56323.45095
BRA,1970,64591.64833
BRA,1971,73293.26888
BRA,1972,94301.63628
BRA,1973,135043.9413
BRA,1974,176996.2465
BRA,1975,212645.6152
BRA,1976,251116.4242
BRA,1977,291661.3944
BRA,1978,337730.0912
BRA,1979,378120.2651
BRA,1980,386871.4418
BRA,1981,422565.1197
BRA,1982,488512.4737
BRA,1983,346290.3054
BRA,1984,358170.9631
BRA,1985,384165.1728
BRA,1986,437405.0495
BRA,1987,502028.7431
BRA,1988,559694.303
BRA,1989,792472.6977
BRA,1990,1631974.73
BRA,1991,1379480.25
BRA,1992,1353885.072
BRA,1993,1498064.913
BRA,1994,1880149.172
BRA,1995,5026661.814
BRA,1996,5462279.044
BRA,1997,5678018.89
BRA,1998,5510162.48
BRA,1999,3871677.666
BRA,2000,6767151.941
BRA,2001,3893766.176
BRA,2002,3622687.132
BRA,2003,4010002.018
BRA,2004,4838467.546
BRA,2005,6432957.082
BRA,2006,7820332.085
BRA,2007,12293823.31
BRA,2008,15001922.32
BRA,2009,14329211.42
BRA,2010,18628862.14
BRA,2011,21697174.18
BRA,2012,16941010.63
BRA,2013,16949019.9
BRA,2014,16697994.09
BRA,2015,10375180.15
BRA,2016,6034527.797
BRA,2017,6954520.459
BRA,2018,6469568.195
BRA,2019,6429663.342
BRA,2020,4954083.077
BRA,2021,2687989.406
BRB,1990,3874.409347
BRB,1991,3898.999756
BRB,1992,3775.05783
BRB,1993,4013.131655
BRB,1994,4203.045303
BRB,1995,4512.644095
