country,sect,t,source,outp,outpd,outptt,gvco,gvcobp,gvcofp,gvcomix
IRN,10,2001,eora,874.2903760152003,845.7659912314803,20.883272824223923,7.641111959484988,14.05109779269901,-7.2240553998831025,0.8140695666691471
IRN,10,2002,eora,1174.5015569605594,847.8921370120206,220.59250781744606,106.016912131107,70.01313566787701,7.976847389763098,28.02692907346686
IRN,10,2003,eora,411.84729533912014,122.60017936589975,183.1491101511599,106.098005822049,69.628542680505,4.927345278136805,31.542117863407213
IRN,10,2004,eora,1882.2676914595995,1383.4345690167002,312.77870651075,186.05441593215198,134.8592454883759,11.1161391567939,40.0790312869822
IRN,10,2005,eora,2027.5583172669212,1707.2864213964785,215.3435302183002,104.92836565216305,66.47849066497304,14.808372633332503,23.641502353857277
IRN,10,2006,eora,2127.401586038999,1560.7389347465705,340.6218701015598,226.04078119083795,161.12071389585105,14.473322861301497,50.446744433685495
IRN,10,2007,eora,3344.868275424202,2690.833628640601,402.89345851081,251.14118827290008,165.548769103008,24.044016536163696,61.54840263372853
IRN,10,2008,eora,3426.0229064171,2656.2324045192,464.04637254830004,305.7441293495199,235.18449724910897,14.054174504902008,56.505457595508574
IRN,10,2009,eora,1015.8228768217996,1505.4166908491006,-240.41671348165983,-249.17710054566987,-157.96038828731002,-22.650922749984304,-68.56578950837547
IRN,10,2010,eora,3214.8946427133997,2451.1614519736977,459.2534981274298,304.4796926122999,206.5309659694601,27.8502154107003,70.09851123213991
IRN,10,2011,eora,5702.6575356717,4346.031289394701,852.4887385944803,504.13750768256,371.1507415149699,29.784273069350007,103.20249309824027
IRN,10,2012,eora,256.9232098268003,271.2354135604983,25.34760175361953,-39.65980548740981,-18.84071367341994,-3.396994373633021,-17.422097440357277
IRN,10,2013,eora,-4523.5711643150025,-5141.5219936209,374.59961928742996,243.35121001848984,142.2603989009399,9.978797953094016,91.11201316445573
IRN,10,2014,eora,1032.9952487530027,1076.239300088102,29.378663647809844,-72.6227149828701,-38.87962697059993,0.18004483257098514,-33.92313284484101
IRN,10,2015,eora,-704.7237893438032,-183.34605621140145,-225.2166987649689,-296.1610343674897,-232.62437782583993,-5.352731140017994,-58.18392540163222
IRQ,10,1990,eora,,,,,,,
IRQ,10,1991,eora,-606.687885083943,-512.3888957441341,-70.67113637179429,-23.627852968010913,-22.615928171891902,-0.23346299952962002,-0.7784617965893913
IRQ,10,1992,eora,53.28030324488901,65.07977103443699,-9.281514176073209,-2.517953613474198,-2.4990790268412013,0.027455395544039002,-0.04632998217703915
IRQ,10,1993,eora,-117.56323744940198,-110.319612037181,-4.327312273592206,-2.916313138629203,-2.938935296961901,-0.0023205185815259877,0.0249426769142313
IRQ,10,1994,eora,-49.833815179420014,-34.664102433724,-11.405933433941193,-3.7637793117542984,-3.7606455121220996,0.02230314756304899,-0.0254369471952548
IRQ,10,1995,eora,-28.655162362985976,-23.839336738317,-4.417583319132817,-0.39824230553650075,-0.4854219225377996,0.051629939425447,0.035549677575855365
IRQ,10,1996,eora,214.39735198652997,157.58668792666703,40.61912326040251,16.191540799460398,15.6525532681792,0.18207283286711598,0.3569146984140832
IRQ,10,1997,eora,-12.077124918548975,-31.839814025670023,13.555274554523706,6.207414552596699,4.8223464242628005,0.45004320599447095,0.9350249223394274
IRQ,10,1998,eora,354.604842260494,326.74122079887604,21.148812343777493,6.7148091178405025,7.261546617408598,-0.005676805207840974,-0.5410606943602538
IRQ,10,1999,eora,284.08927097119704,237.0977119385949,34.808672438957004,12.182886593647297,11.041584490253001,0.457471712033381,0.6838303913609138
IRQ,10,2000,eora,291.73446223329984,296.29395734690513,-5.052014260264002,0.49251914666020014,-1.7112652801830137,1.2438724674303598,0.9599119594128531
IRQ,10,2001,eora,109.55289909134012,66.29895462615991,30.208203456454015,13.0457410087172,15.26925744732641,-1.1979599548005198,-1.025556483808689
IRQ,10,2002,eora,89.31811651216003,98.83578224961002,-5.847035378415001,-3.6706303590289906,-3.334471647868284,-0.09646883931954009,-0.23968987184115909
IRQ,10,2003,eora,-342.66306428690996,-405.82357929371483,41.502464104489974,21.658050902316887,20.471520628496492,0.17631978435359996,1.0102104894667883
IRQ,10,2004,eora,717.0120132841798,617.6134897691247,68.25199165298503,31.1465318620709,30.63506166721659,0.24244712361982002,0.2690230712344768
IRQ,10,2005,eora,606.2375615523599,516.1581402007603,65.01661944463297,25.06280190696701,23.841699945282016,0.48037124086975,0.7407307208152578
IRQ,10,2006,eora,450.67166333132036,437.70535877919974,6.628728448681045,6.3375761034359925,5.445127275457992,0.4598411087528502,0.4326077192251514
IRQ,10,2007,eora,1014.7469187267197,943.4455163109701,49.41957493051996,21.881827485228,20.860985330993003,0.5411415533936297,0.479700600841368
IRQ,10,2008,eora,1005.2941114095297,845.2814289738599,110.04547550544203,49.96720693022999,49.49376872369899,0.06248541219325032,0.4109527943377218
IRQ,10,2009,eora,994.0397380635704,901.9386336503294,80.7263919139441,11.37471249929601,14.296955576074993,-1.5030530723752202,-1.419190004403735
IRQ,10,2010,eora,347.08865562717983,267.23748699024054,52.01619756420291,27.834971072738,26.739995634880017,0.47074983399943027,0.6242256038585521
IRQ,10,2011,eora,338.8459779046998,262.23482477341076,48.701982166831954,27.90917096446202,26.005074594318017,0.7540614244933397,1.150034945650721
IRQ,10,2012,eora,379.05469334285954,367.24570820922963,12.824086437341066,-1.0151013037130383,-0.6165168215181325,-0.16447322007927978,-0.23411126211568334
IRQ,10,2013,eora,724.3472281815311,606.5866341287501,79.49790167527397,38.26269237750904,38.3840611282771,-0.3031379957727802,0.18176924500466818
IRQ,10,2014,eora,118.37069896908815,97.10448236306911,23.21296814757602,-1.9467515415600474,-1.51126064860199,-0.23199271673504995,-0.20349817622295063
IRQ,10,2015,eora,-424.56252660551854,-336.7002103127588,-45.34142211940696,-42.520894173354975,-41.84017187105297,-0.25870406733652995,-0.4220182349654156
ISL,10,1990,eora,,,,,,,
ISL,10,1991,eora,21.078802801084976,8.98474558970699,6.921455187512493,5.172602023865302,3.0615314434015026,0.186006822224963,1.9250637582388404
ISL,10,1992,eora,7.254729485730991,0.13110174732801738,3.6716320096982997,3.4519957287060024,1.8284540439936983,0.17231625182063304,1.4512254328916683
ISL,10,1993,eora,-37.316260682696964,-23.767402210612005,-9.016578914660386,-4.532279557425305,-3.1287824226320993,-0.03312665167529283,-1.3703704831178989
ISL,10,1994,eora,11.897538637207958,0.9931671620919929,5.808614830946993,5.0957566441690005,2.0606459202995993,0.20416972023562274,2.8309410036337788
ISL,10,1995,eora,37.68317157479504,14.570229211306014,13.516342134358595,9.596600229130004,4.832529885491702,0.19062391217747,4.57344643146082
ISL,10,1995,tiva,-302.981359653492,-161.1470559485094,-89.09574373220651,-52.73855997277579,-26.396998691384006,-1.3458140312271685,-24.995747250164612
ISL,10,1996,eora,321.34858841964,164.6833030408864,97.71262777180449,58.95265760694859,28.911603792075603,1.4901466832616486,28.550907131611343
ISL,10,1996,tiva,-321.34671741964,-164.54213733743248,-97.82887153331014,-58.97570854889684,-28.910954536266527,-1.5103202380734064,-28.554433774556912
ISL,10,1997,eora,320.076916177403,163.0356238408765,97.19749242226867,59.843799914257936,28.75477810602093,1.6768009185891364,29.412220889647873
ISL,10,1997,tiva,-320.072766177403,-163.2019743176862,-97.06755008197855,-59.803241777738364,-28.758281149227052,-1.650844084914767,-29.39411654359655
ISL,10,1998,eora,376.095889113866,200.19370136600918,109.40952793524315,66.49265981261388,31.49398538024695,1.855168188989137,33.143506243377786
ISL,10,1998,tiva,-376.088438113866,-200.23147376126735,-109.38092100260963,-66.47604334998923,-31.496886496543738,-1.847795734202528,-33.13136111924296
ISL,10,1999,eora,416.991184255336,226.57969353327536,118.98122845593262,71.43026226612751,32.51890075535984,1.9950664452184679,36.916295065549214
ISL,10,1999,tiva,-416.988464255336,-226.5895496195676,-118.97176161388431,-71.42715302188358,-32.51916272094794,-1.9930444411575061,-36.91494585977814
ISL,10,2000,eora,435.924155598235,230.11448794670162,125.89736055039731,79.91230710113659,33.717566790817735,2.5168707032306363,43.67786960708821
ISL,10,2000,tiva,-435.923163598235,-230.09627797746705,-125.92152204345093,-79.90536357731752,-33.72350656804671,-2.5165747520984745,-43.66528225717233
ISL,10,2001,eora,368.575142854522,192.31246657246103,106.43995573830794,69.82272054375242,31.484535369724906,2.2334530126627246,36.104732161364794
ISL,10,2001,tiva,-368.57964385452203,-192.1101706303605,-106.58260891538971,-69.88686430877121,-31.47100258491033,-2.2690462207054325,-36.146815503155445
ISL,10,2002,eora,400.30818490298503,220.53893444773652,109.4406678377567,70.3285826174912,32.45438539585163,2.6863633717572326,35.18783384988233
ISL,10,2002,tiva,-400.30007990298503,-220.54206436931756,-109.43265435908414,-70.32536117458271,-32.45474133472422,-2.684609595532872,-35.18601024432563
ISL,10,2003,eora,469.107519046881,256.75879144074656,128.60645535486714,83.74227225126721,42.96959801337142,2.574830252354932,38.19784398554086
ISL,10,2003,tiva,-469.092136046881,-256.7969910885525,-128.56973023228326,-83.72541472604516,-42.97168744445601,-2.5660797687380636,-38.187647512851086
ISL,10,2004,eora,565.398473719724,309.87705745202646,152.37903885315328,103.14237741454426,54.63287189494291,2.8667145896320934,45.64279092996926
ISL,10,2004,tiva,-565.381369719724,-309.8342369530373,-152.396611400077,-103.15052136660968,-54.63115627822922,-2.8714416387659303,-45.647923449614524
ISL,10,2005,eora,699.583765947347,392.2442576315343,183.05480135166098,124.28470696415269,67.31028627799593,3.4968153711763903,53.47760531498036
ISL,10,2005,tiva,-699.562466947347,-392.18077488059714,-183.0850904192399,-124.29660164751098,-67.30480433713015,-3.504902686825251,-53.48689462355556
ISL,10,2006,eora,743.267056956534,387.07266450009917,206.2648276514639,149.92956480497097,84.76184433599205,3.537318969908431,61.63040149907052
ISL,10,2006,tiva,-743.252968956534,-387.55068857288546,-205.9511251781928,-149.75115520545575,-84.82242166813587,-3.4442279611198345,-61.48450557620007
ISL,10,2007,eora,891.753482202387,472.75988811425447,239.0641707879918,179.92942330014074,101.02071251063468,4.373714015423095,74.53499677408298
ISL,10,2007,tiva,-891.767880202387,-472.6864941212107,-239.28176249238356,-179.79962358879268,-101.16378461049385,-4.443555103856868,-74.19228387444198
ISL,10,2008,eora,743.578801687836,346.8738984970006,216.46786187915959,180.2370413116747,94.72223503891114,5.2547400121522685,80.26006626061128
ISL,10,2008,tiva,-743.601168687836,-346.85217763380496,-216.46017024656263,-180.28882080746732,-94.62865017641968,-5.2499257309854395,-80.4102449000622
ISL,10,2009,eora,531.8376076280641,238.77542280510207,161.00271916627062,132.05946565669132,65.62213896510399,4.203324915262458,62.234001776324874
ISL,10,2009,tiva,-531.867990628064,-238.48246880068035,-161.08257437161484,-132.30294745576884,-65.51770769389908,-4.226452074996658,-62.558787686873096
ISL,10,2010,eora,555.836380017892,232.43021987286534,173.13160864709982,150.27455149792684,71.97742247407109,4.9904466998886985,73.30668232396704
ISL,10,2010,tiva,-555.830863017892,-232.4201540319699,-173.13209036513223,-150.27861862078984,-71.9770664330396,-4.988937617826467,-73.31261456992378
ISL,10,2011,eora,628.343366495239,248.0803039456399,199.96282852461923,180.30023402498085,85.435892520331,5.9347465518230775,88.92959495282678
ISL,10,2011,tiva,-628.279585495239,-248.4028071869897,-199.72454463710827,-180.15223367114203,-85.46187343189776,-5.885644143931054,-88.80471609531321
ISL,10,2012,eora,639.006915993983,259.6215045101577,202.05617754350828,177.32923394031704,85.93981802393766,6.020048792225683,85.36936712415367
ISL,10,2012,tiva,-639.018908993983,-259.6043412035753,-202.0933671549777,-177.32120063543007,-85.94789500042056,-6.0348295264027,-85.33847610860678
ISL,10,2013,eora,680.700652702591,285.8395322788283,211.0238404071647,183.83728001659907,89.63756799997965,6.295358884822419,87.90435313179695
ISL,10,2013,tiva,-679.934170702591,-285.35249661406016,-210.8148609673501,-183.76681312118174,-89.6020422296454,-6.273380023922205,-87.89139086761409
ISL,10,2014,eora,694.953019214597,300.35583791440513,214.05358626951912,180.54359503067175,91.33488087441073,6.148558583086657,83.06015557317436
ISL,10,2014,tiva,-695.453421214597,-300.7034581215329,-214.19883357847772,-180.55112951458543,-91.36867540683943,-6.157106488083039,-83.02534761966294
ISL,10,2015,eora,674.342919325624,313.8182183924799,202.4546066640917,158.07009426905242,79.1405790179996,5.816161338874768,73.11335391217804
