country,t,gross output
BOL,2003,3332.58454401
BOL,2004,3622.6942353599998
BOL,2005,3945.0454931100003
BOL,2006,4716.85502596
BOL,2007,5429.56762324
BOL,2008,6907.23454744
BOL,2009,7077.53776483
BOL,2010,8071.09928255
BOL,2011,9842.04829428
BOL,2012,9988.04463775
BOL,2013,11262.82956018
BOL,2014,11366.09925801
BOL,2015,11168.89029428
BRA,1990,129899.126868
BRA,1991,109785.323219
BRA,1992,104009.19669099999
BRA,1993,106066.77128300001
BRA,1994,136079.183551
BRA,1995,180643.025332
BRA,1996,193347.096218
BRA,1997,201118.449937
BRA,1998,199482.164162
BRA,1999,142202.226276
BRA,2000,167327.563522
BRA,2001,143687.9785997
BRA,2002,131420.4789786
BRA,2003,152722.756567
BRA,2004,188793.0368489
BRA,2005,248742.94052
BRA,2006,299439.876163
BRA,2007,374678.447793
BRA,2008,464405.381642
BRA,2009,449499.014046
BRA,2010,593723.439543
BRA,2011,689715.500929
BRA,2012,688631.8517839999
BRA,2013,686291.287504
BRA,2014,686237.647835
BRA,2015,660682.1998419999
BRB,1990,471.030768268
BRB,1991,473.440630489
BRB,1992,462.258032621
BRB,1993,496.46411617
BRB,1994,520.42943629
BRB,1995,555.847038887
BRB,1996,582.795498428
BRB,1997,596.161304848
BRB,1998,646.383882975
BRB,1999,673.49045553
BRB,2000,688.45463725
BRB,2001,697.9130437399999
BRB,2002,704.86195376
BRB,2003,752.70639647
BRB,2004,853.17504104
BRB,2005,968.24048374
BRB,2006,1061.8264336299999
BRB,2007,1162.66328492
BRB,2008,1195.49980744
BRB,2009,1165.24183103
BRB,2010,1187.62098083
BRB,2011,1273.93171164
BRB,2012,1271.35167723
BRB,2013,1278.5797852
BRB,2014,1296.4550513200002
BRB,2015,1261.82606467
BRN,1990,743.408043225
BRN,1991,787.917563003
BRN,1992,897.303087252
BRN,1993,912.152383559
BRN,1994,917.9698278139999
BRN,1995,1086.034362402
BRN,1996,1174.213790198
BRN,1997,1177.678734697
BRN,1998,920.403633318
BRN,1999,1024.041551032
BRN,2000,1279.743146607
BRN,2001,1227.680092405
BRN,2002,1263.94879886
BRN,2003,1425.17390779
BRN,2004,1715.52765084
BRN,2005,2015.15775489
BRN,2006,2394.31807904
BRN,2007,2606.04993374
BRN,2008,3062.83492772
BRN,2009,2358.38310278
BRN,2010,2770.02994133
BRN,2011,3541.87624787
BRN,2012,3557.60917419
BRN,2013,3399.0163105
BRN,2014,3469.26122211
BRN,2015,3429.90223651
BTN,1990,116.89824469499999
BTN,1991,95.25746904600001
BTN,1992,92.73965319499999
BTN,1993,84.393117436
BTN,1994,86.745773485
BTN,1995,88.65645315
BTN,1996,84.813664037
BTN,1997,89.484686151
BTN,1998,82.583005345
BTN,1999,89.729432205
BTN,2000,89.573519466
BTN,2001,100.029918982
BTN,2002,115.274079544
BTN,2003,140.19057471
BTN,2004,168.97152694
BTN,2005,196.415680747
BTN,2006,230.074751967
BTN,2007,308.18561288499995
BTN,2008,336.247906822
BTN,2009,341.66366778500003
BTN,2010,445.09557726
BTN,2011,508.37313807
BTN,2012,528.63615413
BTN,2013,536.69664969
BTN,2014,559.7751676299999
BTN,2015,541.35573256
BWA,1990,583.7325453139999
BWA,1991,593.8921892339999
BWA,1992,631.786452704
BWA,1993,624.496717974
BWA,1994,646.928695779
BWA,1995,735.896293452
BWA,1996,768.057254977
BWA,1997,794.256250649
BWA,1998,808.472645083
BWA,1999,869.049885311
BWA,2000,912.727738727
BWA,2001,839.994531606
BWA,2002,834.811800918
BWA,2003,1130.67011733
BWA,2004,1421.85744904
BWA,2005,1455.19335885
BWA,2006,1487.04626543
BWA,2007,1658.03952627
BWA,2008,1746.18758643
BWA,2009,1689.37478895
BWA,2010,2092.94337392
BWA,2011,2499.97529222
BWA,2012,2494.867139
BWA,2013,2617.530732
BWA,2014,2673.6031714
BWA,2015,2574.35736171
