country,t,outp,gross output,trans_outp_p,trans_diff
GIN,1994,337.22339199241,7246.319223100287,0.0465371979359379,0.00011807530139749944
GIN,1995,381.87065985783,8164.398703679394,0.0467726618600503,0.0002354639241124029
GIN,1996,387.689389208649,8422.063686106323,0.0460325881705467,-0.0007400736895036009
GIN,1997,376.663188511781,8005.18102993924,0.0470524260604559,0.0010198378899091975
GIN,1998,344.6489242314991,7438.591918933197,0.0463325489538249,-0.0007198771066309964
GIN,1999,337.343439095092,7251.109466545652,0.0465230101202428,0.00019046116641789623
GIN,2000,289.498484622972,6295.824553018812,0.0459826162856077,-0.0005403938346350973
GIN,2001,297.4838998213031,6157.093861581199,0.0483156350234534,0.0023330187378457004
GIN,2002,299.137489344359,6134.25708588459,0.0487650721442206,0.00044943712076719877
GIN,2003,321.093607695019,6450.735524764264,0.0497762784510923,0.0010112063068717023
GIN,2004,345.740362808383,6784.687057585174,0.050958925573708,0.0011826471226156973
GIN,2005,296.486608002251,5525.1582676967255,0.0536611973155019,0.0027022717417939032
GIN,2006,324.974326046157,5932.8294137872335,0.0547756059344893,0.0011144086189874003
GIN,2007,453.61339808537,8476.893487970137,0.0535117491719235,-0.0012638567625658029
GIN,2008,531.789142532194,9765.543793969668,0.05445566102121,0.0009439118492865009
GIN,2009,475.693652808718,9186.675464974052,0.0517808269838627,-0.0026748340373473
GIN,2010,494.560859488968,9275.812801091217,0.0533172531716883,0.0015364261878255958
GIN,2011,533.0462525915859,9807.60396482896,0.0543503035505045,0.0010330503788162013
GIN,2012,560.715110966939,10272.718500883097,0.054582933516453,0.00023262996594849983
GIN,2013,637.065240122781,11792.252094178088,0.0540240519821743,-0.0005588815342787018
GIN,2014,655.5614561959,12220.586250741537,0.0536440267876773,-0.000380025194496994
GIN,2015,643.294915332428,12024.523886899076,0.053498576857027,-0.0001454499306503057
GMB,1990,53.2071729893487,1518.5412012553822,0.0350383466351536,
GMB,1991,51.9696417238313,1457.602075983818,0.0356542039697316,0.0006158573345780016
GMB,1992,54.8272849320185,1504.795902938346,0.0364350307074599,0.0007808267377283004
GMB,1993,58.9273309273257,1584.5947138891086,0.0371876356842684,0.0007526049768084991
GMB,1994,58.5917371570871,1569.9494239441724,0.0373207800604732,0.0001331443762047982
GMB,1995,62.4530280506783,1647.7386842031187,0.0379022648733175,0.000581484812844299
GMB,1996,67.0068001836149,1757.8999885930382,0.0381175269460265,0.00021526207270899933
GMB,1997,62.1919281118213,1609.6072019954663,0.0386379534303279,0.000520426484301402
GMB,1998,65.03712147279799,1662.7501110810183,0.0391141886200295,0.0004762351897016001
GMB,1999,62.38608912286161,1605.1650088121314,0.038865841692518,-0.0002483469275115016
GMB,2000,61.8912211513061,1589.2260432328565,0.03894425303112,7.841133860200106e-05
GMB,2001,52.29908070461281,1322.4840914697584,0.0395460943855208,0.0006018413544007992
GMB,2002,41.2012293923918,1012.1988580125028,0.0407046787953231,0.0011585844098023004
GMB,2003,39.7973827211268,1001.9942848891436,0.0397181733681543,-0.000986505427168799
GMB,2004,47.8016859846356,1166.6399322941857,0.0409738126232607,0.0012556392551063972
GMB,2005,52.82925079893101,1282.424444838081,0.0411948251700717,0.00022101254681099886
GMB,2006,57.5480194385466,1375.0225308450515,0.0418524192495806,0.0006575940795089039
GMB,2007,71.7587051768961,1685.0890932429195,0.04258451702325,0.0007320977736694004
GMB,2008,86.1374773159748,2009.6813630345507,0.042861260944327,0.00027674392107699536
GMB,2009,80.4891331711243,1876.0007936179488,0.0429046370582272,4.337611390020646e-05
GMB,2010,85.22729405047549,1993.35704356748,0.0427556590152788,-0.00014897804294840278
GMB,2011,112.026689443354,2655.5640272690503,0.042185648055551,-0.0005700109597278
GMB,2012,112.851347613569,2623.869628787097,0.0430095102193531,0.0008238621638020985
GMB,2013,110.718576645182,2574.909275200222,0.0429990204748369,-1.0489744516201105e-05
GMB,2014,112.713401273254,2626.698851255566,0.0429106675930424,-8.83528817944984e-05
GMB,2015,109.295877649772,2549.689272476393,0.0428663519235887,-4.431566945369697e-05
GRC,1990,6922.30317304979,144445.14511016177,0.0479234048868202,
GRC,1991,7401.742477550661,154199.93735599544,0.0480009434793902,7.753859256999507e-05
GRC,1992,8253.74522951695,171638.72358980484,0.0480878968154201,8.695333602989908e-05
